Contiguous U.S. Statewide Maximum Temperature,,,,,,
Units: Degrees Fahrenheit,,,,,,
Missing: -99,,,,,,
Location ID,Location,Date,Value,Rank,1901-2000 Mean,Anomaly (1901-2000 base period)
100,Alabama,201902,66,117,59.6,6.4
200,Arizona,201902,52.4,8,57.6,-5.2
300,Arkansas,201902,55.5,81,53.9,1.6
400,California,201902,50,5,55.6,-5.6
500,Colorado,201902,37.5,27,40.6,-3.1
600,Connecticut,201902,38.9,95,35.7,3.2
700,Delaware,201902,47.6,98,43.6,4
800,Florida,201902,77.8,123,70.9,6.9
900,Georgia,201902,66.8,117,60.4,6.4
1000,Idaho,201902,31.2,21,35.6,-4.4
1100,Illinois,201902,37.9,57,38.1,-0.2
1200,Indiana,201902,41,86,38.5,2.5
1300,Iowa,201902,24.8,13,32.5,-7.7
1400,Kansas,201902,38.1,14,46,-7.9
1500,Kentucky,201902,52.2,111,46.8,5.4
1600,Louisiana,201902,66.3,96,63,3.3
1700,Maine,201902,26.5,65,26.1,0.4
1800,Maryland,201902,46.5,96,43.2,3.3
1900,Massachusetts,201902,37.6,95,34.7,2.9
2000,Michigan,201902,28.4,70,28.3,0.1
2100,Minnesota,201902,15.4,9,22.9,-7.5
2200,Mississippi,201902,64.7,109,59.6,5.1
2300,Missouri,201902,42.7,45,44.3,-1.6
2400,Montana,201902,15.8,2,31.8,-16
2500,Nebraska,201902,27.8,7,38.6,-10.8
2600,Nevada,201902,39.9,14,45.3,-5.4
2700,New Hampshire,201902,31.4,81,29.6,1.8
2800,New Jersey,201902,43.4,96,39.8,3.6
2900,New Mexico,201902,51.6,58,52,-0.4
3000,New York,201902,33.4,90,30.4,3
3100,North Carolina,201902,58.7,115,53.1,5.6
3200,North Dakota,201902,5.8,2,22,-16.2
3300,Ohio,201902,41.8,94,38,3.8
3400,Oklahoma,201902,50.9,41,53.5,-2.6
3500,Oregon,201902,36.6,11,42.2,-5.6
3600,Pennsylvania,201902,39,93,35.8,3.2
3700,Rhode Island,201902,39.6,95,36.6,3
3800,South Carolina,201902,64.4,118,58.5,5.9
3900,South Dakota,201902,15.1,2,30.9,-15.8
4000,Tennessee,201902,56.1,109,50.7,5.4
4100,Texas,201902,63.3,78,62.2,1.1
4200,Utah,201902,37.1,24,41.2,-4.1
4300,Vermont,201902,29.3,81,27.6,1.7
4400,Virginia,201902,51.8,104,47.2,4.6
4500,Washington,201902,32.3,4,40.3,-8
4600,West Virginia,201902,48.3,109,42.9,5.4
4700,Wisconsin,201902,23.4,29,26.7,-3.3
4800,Wyoming,201902,27.9,17,33.5,-5.6
100,Alabama,201901,56.6,72,56,0.6
200,Arizona,201901,54.6,78,53,1.6
300,Arkansas,201901,49.4,63,49.4,0
400,California,201901,55.2,106,51.9,3.3
500,Colorado,201901,38.7,85,36.4,2.3
600,Connecticut,201901,35.9,80,34.4,1.5
700,Delaware,201901,43.9,83,42,1.9
800,Florida,201901,69.5,76,68.9,0.6
900,Georgia,201901,58.7,83,57.1,1.6
1000,Idaho,201901,34.9,110,30.2,4.7
1100,Illinois,201901,33.6,51,33.8,-0.2
1200,Indiana,201901,35,57,35.1,-0.1
1300,Iowa,201901,27.1,59,27.1,0
1400,Kansas,201901,41.4,67,40.1,1.3
1500,Kentucky,201901,43.2,69,43,0.2
1600,Louisiana,201901,59.9,69,59.6,0.3
1700,Maine,201901,24,67,23.6,0.4
1800,Maryland,201901,42.4,77,41.1,1.3
1900,Massachusetts,201901,34.7,83,33.3,1.4
2000,Michigan,201901,24.6,41,26,-1.4
2100,Minnesota,201901,16.1,51,16.5,-0.4
2200,Mississippi,201901,55.9,68,55.8,0.1
2300,Missouri,201901,39.1,53,39.2,-0.1
2400,Montana,201901,34.7,110,26.4,8.3
2500,Nebraska,201901,36.6,81,33.6,3
2600,Nevada,201901,43.9,97,40.9,3
2700,New Hampshire,201901,27.6,58,27.6,0
2800,New Jersey,201901,40.5,87,38.2,2.3
2900,New Mexico,201901,48.5,72,47.5,1
3000,New York,201901,28.8,61,28.7,0.1
3100,North Carolina,201901,51.8,79,50.6,1.2
