Contiguous U.S. Statewide Minimum Temperature,,,,,,
Units: Degrees Fahrenheit,,,,,,
Missing: -99,,,,,,
Location ID,Location,Date,Value,Rank,1901-2000 Mean,Anomaly (1901-2000 base period)
100,Alabama,201902,46,123,36.4,9.6
200,Arizona,201902,29.8,29,31.8,-2
300,Arkansas,201902,36.6,104,32.4,4.2
400,California,201902,32.8,25,35.1,-2.3
500,Colorado,201902,12,31,14.3,-2.3
600,Connecticut,201902,21.5,104,16.9,4.6
700,Delaware,201902,28.8,101,25.1,3.7
800,Florida,201902,57.6,124,47.9,9.7
900,Georgia,201902,45.3,122,36.8,8.5
1000,Idaho,201902,15.2,35,17.3,-2.1
1100,Illinois,201902,21.2,72,20.3,0.9
1200,Indiana,201902,24,90,20.3,3.7
1300,Iowa,201902,6.4,19,13,-6.6
1400,Kansas,201902,18.2,31,21.2,-3
1500,Kentucky,201902,32,113,26.2,5.8
1600,Louisiana,201902,48.7,118,41.8,6.9
1700,Maine,201902,7.1,90,3.8,3.3
1800,Maryland,201902,28,100,24.4,3.6
1900,Massachusetts,201902,19.5,99,15.4,4.1
2000,Michigan,201902,11.9,73,10,1.9
2100,Minnesota,201902,-4.5,27,1.2,-5.7
2200,Mississippi,201902,44.8,119,37.1,7.7
2300,Missouri,201902,23.7,69,23.2,0.5
2400,Montana,201902,-4.5,2,10.9,-15.4
2500,Nebraska,201902,7.3,12,14.8,-7.5
2600,Nevada,201902,20.3,26,23,-2.7
2700,New Hampshire,201902,11.2,92,7.3,3.9
2800,New Jersey,201902,26.1,107,21.4,4.7
2900,New Mexico,201902,24,69,23.5,0.5
3000,New York,201902,15.6,94,11.1,4.5
3100,North Carolina,201902,37.2,119,30.8,6.4
3200,North Dakota,201902,-11.7,4,1.8,-13.5
3300,Ohio,201902,24.7,99,20,4.7
3400,Oklahoma,201902,30.5,82,29,1.5
3500,Oregon,201902,22.6,20,26,-3.4
3600,Pennsylvania,201902,21.4,97,17.3,4.1
3700,Rhode Island,201902,23.5,104,19,4.5
3800,South Carolina,201902,41.7,118,35.1,6.6
3900,South Dakota,201902,-2.4,6,8.8,-11.2
4000,Tennessee,201902,37.3,119,29.5,7.8
4100,Texas,201902,40.6,110,36.7,3.9
4200,Utah,201902,16.9,31,19.5,-2.6
4300,Vermont,201902,9.3,86,5.4,3.9
4400,Virginia,201902,31.9,118,26.1,5.8
4500,Washington,201902,19,9,25.8,-6.8
4600,West Virginia,201902,28.6,115,22.4,6.2
4700,Wisconsin,201902,3.7,45,6.1,-2.4
4800,Wyoming,201902,6.8,23,11,-4.2
100,Alabama,201901,36.1,82,34.2,1.9
200,Arizona,201901,30.7,85,28.3,2.4
300,Arkansas,201901,32,94,29.1,2.9
400,California,201901,36.9,111,32.7,4.2
500,Colorado,201901,13.4,85,11,2.4
600,Connecticut,201901,18.3,84,16.3,2
700,Delaware,201901,25.3,71,24.6,0.7
800,Florida,201901,47.4,79,46.6,0.8
900,Georgia,201901,37.4,92,35.1,2.3
1000,Idaho,201901,17.8,93,13.8,4
1100,Illinois,201901,17.5,61,16.8,0.7
1200,Indiana,201901,19.2,67,18,1.2
1300,Iowa,201901,10.3,70,8.4,1.9
1400,Kansas,201901,21.4,106,17.2,4.2
1500,Kentucky,201901,26.7,86,24.2,2.5
1600,Louisiana,201901,39.8,72,39.1,0.7
1700,Maine,201901,4.2,75,2.8,1.4
1800,Maryland,201901,25,78,23.8,1.2
1900,Massachusetts,201901,17,83,15,2
2000,Michigan,201901,9,46,10.2,-1.2
2100,Minnesota,201901,-2.4,63,-3.6,1.2
2200,Mississippi,201901,36.3,85,34.4,1.9
2300,Missouri,201901,22.6,88,19.6,3
2400,Montana,201901,15.3,112,7,8.3
2500,Nebraska,201901,16,103,10.6,5.4
2600,Nevada,201901,23.8,106,19,4.8
2700,New Hampshire,201901,8.3,81,6.7,1.6
2800,New Jersey,201901,22.5,84,21,1.5
2900,New Mexico,201901,22.5,96,19.8,2.7
3000,New York,201901,10.1,50,11,-0.9
3100,North Carolina,201901,32,92,29.5,2.5
3200,North Dakota,201901,1,81,-3.5,4.5
3300,Ohio,201901,19.8,70,18.7,1.1
3400,Oklahoma,201901,27.7,95,25.1,2.6
3500,Oregon,201901,27.7,105,22.9,4.8
3600,Pennsylvania,201901,17.6,66,17.1,0.5
3700,Rhode Island,201901,20.3,84,18.6,1.7
3800,South Carolina,201901,36.6,98,33.6,3
3900,South Dakota,201901,8.9,85,4.2,4.7
4000,Tennessee,201901,30.7,94,27.3,3.4
4100,Texas,201901,35.3,88,33.1,2.2
4200,Utah,201901,17.6,81,14.9,2.7
4300,Vermont,201901,4.9,59,4.8,0.1
4400,Virginia,201901,27.1,85,25,2.1
4500,Washington,201901,28.6,110,22.4,6.2
4600,West Virginia,201901,24.1,91,21.2,2.9
4700,Wisconsin,201901,4.6,67,3,1.6
4800,Wyoming,201901,11.7,93,7.9,3.8
100,Alabama,201812,40.1,112,35.4,4.7
200,Arizona,201812,31,93,29,2
300,Arkansas,201812,35.7,107,31.5,4.2
400,California,201812,35.8,104,33.2,2.6
500,Colorado,201812,14,79,12.8,1.2
600,Connecticut,201812,25.6,109,20.8,4.8
700,Delaware,201812,32.4,108,27.4,5
800,Florida,201812,51.9,103,47.7,4.2
900,Georgia,201812,40.7,106,35.9,4.8
1000,Idaho,201812,16.7,66,16.2,0.5
1100,Illinois,201812,26.6,103,21.4,5.2
1200,Indiana,201812,27.8,106,22.2,5.6
1300,Iowa,201812,20.4,108,14,6.4
1400,Kansas,201812,23.1,89,20.4,2.7
1500,Kentucky,201812,32.1,113,27,5.1
1600,Louisiana,201812,43.6,98,40.5,3.1
1700,Maine,201812,11.2,67,9.9,1.3
1800,Maryland,201812,30.9,105,26.7,4.2
1900,Massachusetts,201812,23.8,104,19.6,4.2
2000,Michigan,201812,22.8,111,16.3,6.5
2100,Minnesota,201812,12.8,111,4.1,8.7
2200,Mississippi,201812,39.6,105,36,3.6
2300,Missouri,201812,28,104,23.5,4.5
2400,Montana,201812,16.2,103,11.4,4.8
2500,Nebraska,201812,18.2,96,14.2,4
2600,Nevada,201812,22.5,89,20.1,2.4
2700,New Hampshire,201812,15.6,86,12.5,3.1
2800,New Jersey,201812,30,109,24.6,5.4
2900,New Mexico,201812,23.2,104,20.5,2.7
3000,New York,201812,21.2,100,16.6,4.6
3100,North Carolina,201812,35.8,109,30.8,5
3200,North Dakota,201812,12.6,116,3.4,9.2
3300,Ohio,201812,27.9,103,22.7,5.2
3400,Oklahoma,201812,30.3,100,27.8,2.5
3500,Oregon,201812,25.4,73,24.7,0.7
3600,Pennsylvania,201812,26.7,109,21.2,5.5
3700,Rhode Island,201812,27.1,105,22.7,4.4
3800,South Carolina,201812,39.1,105,34.4,4.7
3900,South Dakota,201812,15.6,110,9.2,6.4
4000,Tennessee,201812,34.6,113,29.4,5.2
4100,Texas,201812,37.4,107,34.8,2.6
4200,Utah,201812,18.1,75,16.8,1.3
4300,Vermont,201812,13.8,78,11.2,2.6
4400,Virginia,201812,30.9,106,26.9,4
4500,Washington,201812,27.7,90,25.2,2.5
4600,West Virginia,201812,28.5,107,23.9,4.6
4700,Wisconsin,201812,18.7,112,10,8.7
4800,Wyoming,201812,11,62,10.3,0.7
100,Alabama,201811,40.1,53,40.9,-0.8
200,Arizona,201811,35.2,49,35.3,-0.1
300,Arkansas,201811,35.8,25,38.5,-2.7
400,California,201811,40.8,101,38.2,2.6
500,Colorado,201811,20,46,20.4,-0.4
600,Connecticut,201811,31.4,67,31,0.4
700,Delaware,201811,36.3,67,35.9,0.4
800,Florida,201811,56.5,98,53.3,3.2
900,Georgia,201811,42.8,75,41.9,0.9
1000,Idaho,201811,23,56,22.8,0.2
1100,Illinois,201811,28.5,23,31.5,-3
1200,Indiana,201811,29.8,33,31.6,-1.8
1300,Iowa,201811,22.2,22,26,-3.8
1400,Kansas,201811,26.5,17,29.6,-3.1
1500,Kentucky,201811,32.7,38,34.2,-1.5
1600,Louisiana,201811,45.2,53,45.9,-0.7
1700,Maine,201811,22.2,23,24.4,-2.2
1800,Maryland,201811,35.5,71,35,0.5
1900,Massachusetts,201811,30.5,62,30.3,0.2
2000,Michigan,201811,25.5,38,27.1,-1.6
2100,Minnesota,201811,15.9,33,19.6,-3.7
2200,Mississippi,201811,40.6,52,41.5,-0.9
2300,Missouri,201811,28.5,14,32.8,-4.3
2400,Montana,201811,20.9,71,19.7,1.2
2500,Nebraska,201811,22,31,23.6,-1.6
2600,Nevada,201811,26.2,52,26.5,-0.3
2700,New Hampshire,201811,24.3,40,25.2,-0.9
2800,New Jersey,201811,34.4,74,33.7,0.7
2900,New Mexico,201811,26.5,37,27.4,-0.9
3000,New York,201811,26.9,31,28.3,-1.4
3100,North Carolina,201811,38.4,78,37.4,1
3200,North Dakota,201811,15.4,43,17,-1.6
3300,Ohio,201811,31.2,55,31.6,-0.4
3400,Oklahoma,201811,32.1,11,36.3,-4.2
3500,Oregon,201811,29.8,64,29.2,0.6
3600,Pennsylvania,201811,30.2,50,30.5,-0.3
3700,Rhode Island,201811,33.7,77,32.8,0.9
3800,South Carolina,201811,42,82,40.8,1.2
3900,South Dakota,201811,19.6,42,20.6,-1
4000,Tennessee,201811,35,47,35.8,-0.8
4100,Texas,201811,40,29,42,-2
4200,Utah,201811,23.3,37,24.5,-1.2
4300,Vermont,201811,23.5,36,24.7,-1.2
4400,Virginia,201811,34.8,71,34.2,0.6
4500,Washington,201811,32,90,30,2
4600,West Virginia,201811,31.6,63,31.3,0.3
4700,Wisconsin,201811,21.2,34,23.5,-2.3
4800,Wyoming,201811,18,58,18,0
100,Alabama,201810,56.8,113,50.9,5.9
200,Arizona,201810,48.5,97,46.3,2.2
300,Arkansas,201810,52.8,109,49,3.8
400,California,201810,48.4,101,46.2,2.2
500,Colorado,201810,33,86,32,1
600,Connecticut,201810,43,108,39.9,3.1
700,Delaware,201810,50.6,117,45.5,5.1
800,Florida,201810,66.9,119,62.1,4.8
900,Georgia,201810,57.2,111,52,5.2
1000,Idaho,201810,32.8,90,31.8,1
1100,Illinois,201810,43.8,78,42.9,0.9
1200,Indiana,201810,44.3,96,41.9,2.4
1300,Iowa,201810,38,39,39.5,-1.5
1400,Kansas,201810,42.2,44,43,-0.8
1500,Kentucky,201810,48,107,44.2,3.8
1600,Louisiana,201810,61.3,117,55.2,6.1
1700,Maine,201810,34.4,69,34.3,0.1
1800,Maryland,201810,49.9,117,44.8,5.1
1900,Massachusetts,201810,41.6,102,39,2.6
2000,Michigan,201810,37.6,65,37.3,0.3
2100,Minnesota,201810,32.8,36,34.2,-1.4
2200,Mississippi,201810,56.2,113,51.2,5
2300,Missouri,201810,45.7,81,44.6,1.1
2400,Montana,201810,30,40,30.9,-0.9
2500,Nebraska,201810,35.1,35,36.6,-1.5
2600,Nevada,201810,37.2,83,36.2,1
2700,New Hampshire,201810,37,104,34.4,2.6
2800,New Jersey,201810,47.7,113,42.9,4.8
2900,New Mexico,201810,42.1,119,38.8,3.3
3000,New York,201810,39.8,93,37.5,2.3
3100,North Carolina,201810,52.2,112,47.3,4.9
3200,North Dakota,201810,28.3,20,31.6,-3.3
3300,Ohio,201810,44.5,108,41.2,3.3
3400,Oklahoma,201810,50.2,86,48.7,1.5
3500,Oregon,201810,36.8,88,36,0.8
3600,Pennsylvania,201810,43.6,115,39.2,4.4
3700,Rhode Island,201810,44,98,41.7,2.3
3800,South Carolina,201810,56.1,111,51,5.1
3900,South Dakota,201810,31.8,25,34.2,-2.4
4000,Tennessee,201810,50.2,110,45.6,4.6
4100,Texas,201810,56.2,110,53.3,2.9
4200,Utah,201810,36.9,87,35.6,1.3
4300,Vermont,201810,37,103,34.3,2.7
4400,Virginia,201810,49.3,119,44,5.3
4500,Washington,201810,37.4,68,37.1,0.3
4600,West Virginia,201810,45.5,115,40.8,4.7
4700,Wisconsin,201810,35.1,45,36.1,-1
4800,Wyoming,201810,28.6,45,29.2,-0.6
100,Alabama,201809,69.8,124,62.9,6.9
200,Arizona,201809,61.2,121,57.6,3.6
300,Arkansas,201809,66.2,117,60.9,5.3
400,California,201809,56.3,106,53.8,2.5
500,Colorado,201809,46.4,117,42.5,3.9
600,Connecticut,201809,57.5,124,50.6,6.9
700,Delaware,201809,66,124,57,9
800,Florida,201809,73.7,124,69.7,4
900,Georgia,201809,69.4,123,63.4,6
1000,Idaho,201809,40.7,75,40.1,0.6
1100,Illinois,201809,59.6,119,54.4,5.2
1200,Indiana,201809,59.7,123,53.4,6.3
1300,Iowa,201809,55.9,118,51.1,4.8
1400,Kansas,201809,59,113,55.3,3.7
1500,Kentucky,201809,64,124,56.4,7.6
1600,Louisiana,201809,72.1,124,66.4,5.7
1700,Maine,201809,46.5,109,43.9,2.6
1800,Maryland,201809,65.6,124,56.3,9.3
1900,Massachusetts,201809,56.6,124,49.4,7.2
2000,Michigan,201809,52.2,120,47.3,4.9
2100,Minnesota,201809,49.5,113,45.3,4.2
2200,Mississippi,201809,69.5,123,63.3,6.2
2300,Missouri,201809,61,117,56.2,4.8
2400,Montana,201809,40.1,53,40,0.1
2500,Nebraska,201809,53.8,118,48.7,5.1
2600,Nevada,201809,48.1,101,45.8,2.3
2700,New Hampshire,201809,51.1,123,44.8,6.3
2800,New Jersey,201809,63,124,54.3,8.7
2900,New Mexico,201809,52.2,107,49.8,2.4
3000,New York,201809,54.5,123,48.1,6.4
3100,North Carolina,201809,67.7,124,59.4,8.3
3200,North Dakota,201809,43,59,42.8,0.2
3300,Ohio,201809,60.5,124,52.5,8
3400,Oklahoma,201809,64.3,114,60.6,3.7
3500,Oregon,201809,42,41,43,-1
3600,Pennsylvania,201809,58.5,124,50.2,8.3
3700,Rhode Island,201809,59,124,52.1,6.9
3800,South Carolina,201809,70,124,63,7
3900,South Dakota,201809,49.6,107,46,3.6
4000,Tennessee,201809,65.6,124,57.9,7.7
4100,Texas,201809,66.9,116,63.7,3.2
4200,Utah,201809,50.4,121,46.2,4.2
4300,Vermont,201809,50.4,121,44.6,5.8
4400,Virginia,201809,65.1,124,55.9,9.2
4500,Washington,201809,44.6,57,44.6,0
4600,West Virginia,201809,61.9,124,52.4,9.5
4700,Wisconsin,201809,51.3,121,46.8,4.5
4800,Wyoming,201809,40.9,97,38.9,2
100,Alabama,201808,69.6,110,68,1.6
200,Arizona,201808,66.7,114,64.3,2.4
300,Arkansas,201808,68.8,84,67.7,1.1
400,California,201808,61.9,119,58.6,3.3
500,Colorado,201808,51.3,77,50.7,0.6
600,Connecticut,201808,64.7,124,57.9,6.8
700,Delaware,201808,69.4,124,63.8,5.6
800,Florida,201808,73.4,115,71.5,1.9
900,Georgia,201808,69.3,98,68.1,1.2
1000,Idaho,201808,49.2,94,47.6,1.6
1100,Illinois,201808,64.7,108,61.9,2.8
1200,Indiana,201808,64.3,111,60.6,3.7
1300,Iowa,201808,61.2,91,59.8,1.4
1400,Kansas,201808,64,54,64.3,-0.3
1500,Kentucky,201808,66.2,109,63.3,2.9
1600,Louisiana,201808,72.1,91,71.2,0.9
1700,Maine,201808,57.4,124,51.8,5.6
1800,Maryland,201808,68,124,62.9,5.1
1900,Massachusetts,201808,64.2,124,56.7,7.5
2000,Michigan,201808,59.2,118,54.1,5.1
2100,Minnesota,201808,56.6,101,54.3,2.3
2200,Mississippi,201808,69.7,78,68.9,0.8
2300,Missouri,201808,65.8,94,64.2,1.6
2400,Montana,201808,49.2,70,48.9,0.3
