State,Date,Avg Value,Avg Rank,Avg Mean,Avg Anomaly,Min Value,Min Rank,Min Mean,Min Anomaly,Max Value,Max Rank,Max Mean (1901-2000),Max Anomaly (1901-2000)
Alabama,201812,49.2,90,46.4,2.8,40.1,112,35.4,4.7,58.2,72,57.4,0.8
Arizona,201812,43.1,88,41.5,1.6,31,93,29,2,55.2,77,54,1.2
Arkansas,201812,44.2,96,41.5,2.7,35.7,107,31.5,4.2,52.6,75,51.5,1.1
California,201812,44.8,95,43.1,1.7,35.8,104,33.2,2.6,53.9,80,52.9,1
Colorado,201812,26.6,80,25.2,1.4,14,79,12.8,1.2,39.3,80,37.6,1.7
Connecticut,201812,33.6,105,29.2,4.4,25.6,109,20.8,4.8,41.6,101,37.7,3.9
Delaware,201812,40.8,107,36.2,4.6,32.4,108,27.4,5,49.2,104,45,4.2
Florida,201812,61.7,88,58.8,2.9,51.9,103,47.7,4.2,71.5,81,69.9,1.6
Georgia,201812,50.1,91,47.1,3,40.7,106,35.9,4.8,59.5,80,58.2,1.3
Idaho,201812,24.4,60,23.9,0.5,16.7,66,16.2,0.5,32,61,31.7,0.3
Illinois,201812,34.4,105,29.4,5,26.6,103,21.4,5.2,42.3,104,37.5,4.8
Indiana,201812,35.4,106,30.3,5.1,27.8,106,22.2,5.6,43,103,38.4,4.6
Iowa,201812,28,103,22.7,5.3,20.4,108,14,6.4,35.6,96,31.4,4.2
Kansas,201812,34.3,89,31.5,2.8,23.1,89,20.4,2.7,45.5,83,42.7,2.8
Kentucky,201812,40.3,103,36.2,4.1,32.1,113,27,5.1,48.5,92,45.5,3
Louisiana,201812,52.6,89,50.9,1.7,43.6,98,40.5,3.1,61.5,67,61.3,0.2
Maine,201812,20.3,70,18.7,1.6,11.2,67,9.9,1.3,29.4,77,27.5,1.9
Maryland,201812,39.2,104,35.3,3.9,30.9,105,26.7,4.2,47.6,99,43.9,3.7
Massachusetts,201812,32,104,28.1,3.9,23.8,104,19.6,4.2,40.2,96,36.7,3.5
Michigan,201812,28.7,109,23.3,5.4,22.8,111,16.3,6.5,34.5,107,30.2,4.3
Minnesota,201812,20.3,106,12.9,7.4,12.8,111,4.1,8.7,27.8,104,21.7,6.1
Mississippi,201812,48.9,88,46.8,2.1,39.6,105,36,3.6,58.2,72,57.6,0.6
Missouri,201812,36.9,100,33,3.9,28,104,23.5,4.5,45.8,88,42.4,3.4
Montana,201812,25,98,20.6,4.4,16.2,103,11.4,4.8,33.9,96,29.9,4
Nebraska,201812,28.1,89,25.3,2.8,18.2,96,14.2,4,38.1,72,36.4,1.7
Nevada,201812,32.2,76,31.2,1,22.5,89,20.1,2.4,41.9,59,42.2,-0.3
New Hampshire,201812,24.7,90,21.7,3,15.6,86,12.5,3.1,33.8,92,30.9,2.9
