YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,CONSUMPTION
2018,1,AK,Total Electric Power Industry,Coal (Short Tons),"38,059"
2018,1,AK,Total Electric Power Industry,Natural Gas (Mcf),"2,896,782"
2018,1,AK,Total Electric Power Industry,Petroleum (Barrels),"159,092"
2018,1,AL,Total Electric Power Industry,Coal (Short Tons),"1,886,769"
2018,1,AL,Total Electric Power Industry,Natural Gas (Mcf),"32,863,042"
2018,1,AL,Total Electric Power Industry,Other Gases (Billion Btu),1
2018,1,AL,Total Electric Power Industry,Petroleum (Barrels),"88,319"
2018,1,AR,Total Electric Power Industry,Coal (Short Tons),"1,692,923"
2018,1,AR,Total Electric Power Industry,Natural Gas (Mcf),"10,732,630"
2018,1,AR,Total Electric Power Industry,Petroleum (Barrels),"8,952"
2018,1,AZ,Total Electric Power Industry,Coal (Short Tons),"1,492,309"
2018,1,AZ,Total Electric Power Industry,Natural Gas (Mcf),"11,989,982"
2018,1,AZ,Total Electric Power Industry,Petroleum (Barrels),"10,070"
2018,1,CA,Total Electric Power Industry,Coal (Short Tons),"5,371"
2018,1,CA,Total Electric Power Industry,Geothermal (Billion Btu),"9,287"
2018,1,CA,Total Electric Power Industry,Natural Gas (Mcf),"49,548,861"
2018,1,CA,Total Electric Power Industry,Other Gases (Billion Btu),673
2018,1,CA,Total Electric Power Industry,Petroleum (Barrels),"5,883"
2018,1,CO,Total Electric Power Industry,Coal (Short Tons),"1,312,133"
2018,1,CO,Total Electric Power Industry,Natural Gas (Mcf),"10,110,944"
2018,1,CO,Total Electric Power Industry,Petroleum (Barrels),"3,988"
2018,1,CT,Total Electric Power Industry,Coal (Short Tons),"101,353"
2018,1,CT,Total Electric Power Industry,Natural Gas (Mcf),"9,634,355"
2018,1,CT,Total Electric Power Industry,Petroleum (Barrels),"396,619"
2018,1,DC,Total Electric Power Industry,Natural Gas (Mcf),"53,778"
2018,1,DC,Total Electric Power Industry,Petroleum (Barrels),0
2018,1,DE,Total Electric Power Industry,Coal (Short Tons),"46,135"
2018,1,DE,Total Electric Power Industry,Natural Gas (Mcf),"2,232,259"
2018,1,DE,Total Electric Power Industry,Other Gases (Billion Btu),95
2018,1,DE,Total Electric Power Industry,Petroleum (Barrels),"201,648"
2018,1,FL,Total Electric Power Industry,Coal (Short Tons),"1,439,724"
2018,1,FL,Total Electric Power Industry,Natural Gas (Mcf),"90,733,339"
2018,1,FL,Total Electric Power Industry,Other Gases (Billion Btu),2
2018,1,FL,Total Electric Power Industry,Petroleum (Barrels),"651,989"
2018,1,GA,Total Electric Power Industry,Coal (Short Tons),"1,834,973"
2018,1,GA,Total Electric Power Industry,Natural Gas (Mcf),"31,540,500"
2018,1,GA,Total Electric Power Industry,Petroleum (Barrels),"224,763"
2018,1,HI,Total Electric Power Industry,Coal (Short Tons),"65,520"
2018,1,HI,Total Electric Power Industry,Geothermal (Billion Btu),252
2018,1,HI,Total Electric Power Industry,Other Gases (Billion Btu),20
2018,1,HI,Total Electric Power Industry,Petroleum (Barrels),"865,483"
2018,1,IA,Total Electric Power Industry,Coal (Short Tons),"1,349,509"
2018,1,IA,Total Electric Power Industry,Natural Gas (Mcf),"3,179,249"
2018,1,IA,Total Electric Power Industry,Petroleum (Barrels),"18,482"
